,Time,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15
S44,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
S45,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
S46,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
S47,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
S48,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0
S49,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S50,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
S51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S52,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
S53,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
S54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S55,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1
S56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S58,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S59,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
S60,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
S61,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
S62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S63,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0
S64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
S65,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0
S66,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1
S67,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0
S68,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S70,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0
S71,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
S72,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
S73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S74,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0
S75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
S76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S77,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
S78,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1
S79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S80,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
S81,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
S82,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
S83,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S84,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
S85,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0
S86,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
S87,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1
S88,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
S89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S90,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
S91,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
S92,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
S93,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
S94,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S97,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1
S98,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
S99,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
S100,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
S101,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
S102,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
S103,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
S104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S105,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
S106,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0
S107,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
S108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S109,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0
S110,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0
S111,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
S112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S113,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0
S114,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1
S115,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0
S116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S118,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1
S119,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
S120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S121,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S122,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
S123,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
S124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S125,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
S126,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
S127,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
S128,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S129,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0
S130,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
S131,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
S132,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0
S133,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
S134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S136,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S137,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1
S138,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
S139,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S140,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
S141,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0
S142,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S143,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
S144,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
S145,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
S146,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
S147,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
S148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S149,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1
S150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S151,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
S152,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S153,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
S154,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
S155,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
S156,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
S157,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
S158,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1
S159,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
S160,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
S161,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
S162,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
S163,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
S165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S166,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S167,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
S168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S169,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
S170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S171,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
S172,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
S173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S174,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0
S175,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0
S176,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1
S177,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1
S178,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
S179,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0
S180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S182,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0
S183,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0
S184,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
S185,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
S186,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
S187,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
S188,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
S189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S191,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
S192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S193,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
S194,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1
S195,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
S196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S197,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
S198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S200,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
S201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S202,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S203,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1
S204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S205,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0
S206,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
S207,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1
S208,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
S209,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
S210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S211,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
S212,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0
S213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S215,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
S216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S219,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0
S220,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1
S221,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0
S222,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
S223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S224,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S225,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
S226,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
S227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S228,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
S229,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
S230,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0
S231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S232,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
S233,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S234,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
S235,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
S236,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
S237,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0
S238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S239,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1
S240,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
S241,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
S242,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0
S243,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1
S244,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S245,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
S246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S247,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
S248,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
S249,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S250,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
S251,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S252,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0
S253,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
S254,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
S255,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
S256,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
S257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S258,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
S259,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1
S260,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
S261,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
S262,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S263,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
S264,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
S265,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
S266,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S268,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
S269,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0
S270,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
S271,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
S272,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1
S273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
S274,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
S275,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S276,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0
S277,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
S278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S280,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S283,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
S284,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S285,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1
S286,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S287,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
S288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S289,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1
S290,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
S291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S292,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
S293,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
S294,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S295,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
S296,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
S297,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S298,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1
S299,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
S300,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
S301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S302,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
S303,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0
S304,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
S305,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
S306,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1
S307,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
S308,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
S309,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S310,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
S311,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0
S312,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S313,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
S314,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
S315,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
S316,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
S317,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0
S318,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
S319,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
S320,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S321,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
S322,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
S323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S324,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1
S325,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
S326,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
S327,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S328,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1
S329,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0
S330,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
S331,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0
S332,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0
S333,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S334,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S335,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
S336,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0
S337,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
S338,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
S339,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0
S340,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S341,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S342,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S343,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S344,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
S345,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S346,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
S347,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
S348,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0
S349,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
S350,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
S351,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
S352,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S353,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S355,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
S356,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
S357,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
S358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S359,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
S360,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0
S361,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
S362,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0
S363,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
S364,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
S365,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
S366,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0
S367,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S368,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
S369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
S370,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S371,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
S372,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S373,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
S374,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
S375,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
S376,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
S377,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S378,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0
S379,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
S380,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
S381,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
S382,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S383,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
S384,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
S385,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
S386,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0
S387,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S388,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
S389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S390,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
S391,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
S392,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
S393,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
S394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S395,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S397,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
